web-scraper-order,web-scraper-start-url,size
"1728486848-229","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","700.9 Mbytes"
"1728486848-230","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","629.1 Mbytes"
"1728486848-231","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","696.2 Mbytes"
"1728486848-232","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","663.0 Mbytes"
"1728486848-233","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","679.1 Mbytes"
"1728486848-234","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","647.5 Mbytes"
"1728486848-235","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","663.9 Mbytes"
"1728486848-236","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","665.9 Mbytes"
"1728486848-237","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","650.9 Mbytes"
"1728486848-238","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","688.2 Mbytes"
"1728486848-239","https://psl.noaa.gov/thredds/catalog/Datasets/NARR/pressure/catalog.html","669.2 Mbytes"
