name,url,p1,p2,p3,p4
air.sfc.1988.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1988.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1989.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1989.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1990.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1990.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1991.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1991.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1992.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1992.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1993.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1993.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1994.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1994.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1995.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1995.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1996.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1996.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1997.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1997.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1998.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1998.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.1999.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.1999.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.2000.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.2000.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.2001.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.2001.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
air.sfc.2002.nc,https://psl.noaa.gov/thredds/catalog/Datasets/NARR/Dailies/monolevel/catalog.html?dataset=Datasets/NARR/Dailies/monolevel/air.sfc.2002.nc,monolevel,Dailies,NARR,catalog.html?dataset=Datasets
